Episode 1/2000 | Reward: -23.08 | Epsilon: 1.00
Episode 2/2000 | Reward: -24.19 | Epsilon: 0.99
Episode 3/2000 | Reward: -27.84 | Epsilon: 0.99
Episode 4/2000 | Reward: -34.78 | Epsilon: 0.99
Episode 5/2000 | Reward: 3.00 | Epsilon: 0.99
Episode 6/2000 | Reward: -21.99 | Epsilon: 0.98
Episode 7/2000 | Reward: -145.71 | Epsilon: 0.98
Episode 8/2000 | Reward: 8.70 | Epsilon: 0.98
Episode 9/2000 | Reward: -31.41 | Epsilon: 0.97
Episode 10/2000 | Reward: -135.90 | Epsilon: 0.97
Episode 11/2000 | Reward: -3.08 | Epsilon: 0.97
Episode 12/2000 | Reward: -28.10 | Epsilon: 0.96
Episode 13/2000 | Reward: -42.60 | Epsilon: 0.96
Episode 14/2000 | Reward: -56.04 | Epsilon: 0.96
Episode 15/2000 | Reward: -15.49 | Epsilon: 0.96
Episode 16/2000 | Reward: -28.81 | Epsilon: 0.95
Episode 17/2000 | Reward: -28.57 | Epsilon: 0.95
Episode 18/2000 | Reward: -30.40 | Epsilon: 0.95
Episode 19/2000 | Reward: -51.89 | Epsilon: 0.94
Episode 20/2000 | Reward: -45.10 | Epsilon: 0.94
Episode 21/2000 | Reward: -0.38 | Epsilon: 0.94
Episode 22/2000 | Reward: -20.29 | Epsilon: 0.94
Episode 23/2000 | Reward: -46.56 | Epsilon: 0.93
Episode 24/2000 | Reward: -24.73 | Epsilon: 0.93
Episode 25/2000 | Reward: -36.17 | Epsilon: 0.93
Episode 26/2000 | Reward: -66.79 | Epsilon: 0.92
Episode 27/2000 | Reward: -106.37 | Epsilon: 0.92
Episode 28/2000 | Reward: -124.72 | Epsilon: 0.92
Episode 29/2000 | Reward: -38.46 | Epsilon: 0.92
Episode 30/2000 | Reward: -42.45 | Epsilon: 0.91
Episode 31/2000 | Reward: -33.96 | Epsilon: 0.91
Episode 32/2000 | Reward: -34.71 | Epsilon: 0.91
Episode 33/2000 | Reward: -68.57 | Epsilon: 0.91
Episode 34/2000 | Reward: -24.66 | Epsilon: 0.90
Episode 35/2000 | Reward: -27.01 | Epsilon: 0.90
Episode 36/2000 | Reward: -111.33 | Epsilon: 0.90
Episode 37/2000 | Reward: -110.54 | Epsilon: 0.89
Episode 38/2000 | Reward: -58.48 | Epsilon: 0.89
Episode 39/2000 | Reward: -112.86 | Epsilon: 0.89
Episode 40/2000 | Reward: -37.98 | Epsilon: 0.89
Episode 41/2000 | Reward: -46.37 | Epsilon: 0.88
Episode 42/2000 | Reward: -31.03 | Epsilon: 0.88
Episode 43/2000 | Reward: -19.54 | Epsilon: 0.88
Episode 44/2000 | Reward: -51.67 | Epsilon: 0.88
Episode 45/2000 | Reward: -14.59 | Epsilon: 0.87
Episode 46/2000 | Reward: -27.48 | Epsilon: 0.87
Episode 47/2000 | Reward: -149.14 | Epsilon: 0.87
Episode 48/2000 | Reward: -35.81 | Epsilon: 0.87
Episode 49/2000 | Reward: -29.77 | Epsilon: 0.86
Episode 50/2000 | Reward: -65.73 | Epsilon: 0.86
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_50.h5
Episode 51/2000 | Reward: -24.14 | Epsilon: 0.86
Episode 52/2000 | Reward: -41.56 | Epsilon: 0.86
Episode 53/2000 | Reward: -24.91 | Epsilon: 0.85
Episode 54/2000 | Reward: -26.52 | Epsilon: 0.85
Episode 55/2000 | Reward: -121.18 | Epsilon: 0.85
Episode 56/2000 | Reward: -7.53 | Epsilon: 0.85
Episode 57/2000 | Reward: -41.90 | Epsilon: 0.84
Episode 58/2000 | Reward: -0.71 | Epsilon: 0.84
Episode 59/2000 | Reward: -34.26 | Epsilon: 0.84
Episode 60/2000 | Reward: -79.06 | Epsilon: 0.84
Episode 61/2000 | Reward: 25.48 | Epsilon: 0.83
Episode 62/2000 | Reward: -19.68 | Epsilon: 0.83
Episode 63/2000 | Reward: -34.93 | Epsilon: 0.83
Episode 64/2000 | Reward: -112.93 | Epsilon: 0.83
Episode 65/2000 | Reward: 41.26 | Epsilon: 0.82
Episode 66/2000 | Reward: -20.45 | Epsilon: 0.82
Episode 67/2000 | Reward: -28.57 | Epsilon: 0.82
Episode 68/2000 | Reward: -139.88 | Epsilon: 0.82
Episode 69/2000 | Reward: -149.84 | Epsilon: 0.81
Episode 70/2000 | Reward: 22.52 | Epsilon: 0.81
Episode 71/2000 | Reward: -15.75 | Epsilon: 0.81
Episode 72/2000 | Reward: -24.70 | Epsilon: 0.81
Episode 73/2000 | Reward: -31.14 | Epsilon: 0.80
Episode 74/2000 | Reward: -25.80 | Epsilon: 0.80
Episode 75/2000 | Reward: -33.33 | Epsilon: 0.80
Episode 76/2000 | Reward: -48.72 | Epsilon: 0.80
Episode 77/2000 | Reward: -16.11 | Epsilon: 0.79
Episode 78/2000 | Reward: 7.26 | Epsilon: 0.79
Episode 79/2000 | Reward: -1.69 | Epsilon: 0.79
Episode 80/2000 | Reward: -40.40 | Epsilon: 0.79
Episode 81/2000 | Reward: 30.58 | Epsilon: 0.78
Episode 82/2000 | Reward: -33.75 | Epsilon: 0.78
